ID;Statut (Possédé / Recherche / Non possédé);Nom de l'Édition;Catégorie;Année;Pays / Région;Éditeur;Image / Visuel Boîte;État;Prix d'achat (€);Valeur estimée (€);Emplacement / Rangement;Description & Pions;Notes personnelles
mono-monopoly-madness;Non possédé;MONOPOLY Madness;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition MONOPOLY Madness éditée par Hasbro.;
mono-monopoly-fallout-collector-s-edition;Non possédé;MONOPOLY: Fallout Collector's Edition;Jeux Vidéo;2010;Monde;Hasbro;;;;;;Édition MONOPOLY: Fallout Collector's Edition éditée par Hasbro.;
mono-monopoly;Non possédé;Monopoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly.png;;;;;Édition Monopoly éditée par Hasbro.;
mono-monopoly-84-l-a-games;Non possédé;Monopoly '84 L.A. Games;Variantes & Règles Spéciales;1984;Monde;Hasbro;images/box_mono-monopoly-84-l-a-games.jpg;;;;;Édition Monopoly '84 L.A. Games éditée par Hasbro.;
mono-monopoly-2012-pc-version;Non possédé;Monopoly (2012 PC Version);Éditions Spéciales & Thématiques;2012;Monde;Hasbro;images/box_mono-monopoly-2012-pc-version.png;;;;;Édition Monopoly (2012 PC Version) éditée par Hasbro.;
mono-monopoly-tv-game-show;Non possédé;Monopoly (TV game show);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly (TV game show) éditée par Hasbro.;
mono-monopoly-uk;Non possédé;Monopoly (UK);Variantes & Règles Spéciales;2010;Royaume-Uni;Parker Brothers;;;;;;Édition Monopoly (UK) éditée par Parker Brothers.;
mono-monopoly-cereal;Non possédé;Monopoly (cereal);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cereal.jpg;;;;;Édition Monopoly (cereal) éditée par Hasbro.;
mono-monopoly-disambiguation;Non possédé;Monopoly (disambiguation);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly (disambiguation) éditée par Hasbro.;
mono-monopoly-film;Non possédé;Monopoly (film);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly (film) éditée par Hasbro.;
mono-monopoly-game-show;Non possédé;Monopoly (game show);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-game-show.jpg;;;;;Édition Monopoly (game show) éditée par Hasbro.;
mono-monopoly-com-edition;Non possédé;Monopoly .com Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly .com Edition éditée par Hasbro.;
mono-monopoly-007-50th-anniversary-edition;Non possédé;Monopoly 007 50th Anniversary Edition;Variantes & Règles Spéciales;2012;Royaume-Uni;Winning Moves;images/box_mono-monopoly-007-50th-anniversary-edition.jpg;;;;;Édition Monopoly 007 50th Anniversary Edition éditée par Winning Moves.;
mono-monopoly-007-collector-s-edition;Non possédé;Monopoly 007 Collector's Edition;Variantes & Règles Spéciales;2006;USA;USAopoly / The Op;images/box_mono-monopoly-007-collector-s-edition.jpg;;;;;Édition Monopoly 007 Collector's Edition éditée par USAopoly / The Op.;
mono-monopoly-007-edition;Non possédé;Monopoly 007 Edition;Films & Séries;2010;Monde;Hasbro;;;;;;Édition Monopoly 007 Edition éditée par Hasbro.;
mono-monopoly-1-000-000-edition;Non possédé;Monopoly 1,000,000 Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-1-000-000-edition.jpg;;;;;Édition Monopoly 1,000,000 Edition éditée par Hasbro.;
mono-monopoly-1-f-c-k-ln-edition;Non possédé;Monopoly 1. F.C. Köln Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-1-f-c-k-ln-edition.jpg;;;;;Édition Monopoly 1. F.C. Köln Edition éditée par Hasbro.;
mono-monopoly-1-fc-kaiserslautern-edition;Non possédé;Monopoly 1. FC Kaiserslautern Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-1-fc-kaiserslautern-edition.png;;;;;Édition Monopoly 1. FC Kaiserslautern Edition éditée par Hasbro.;
mono-monopoly-1-fsv-mainz-05-edition;Non possédé;Monopoly 1. FSV Mainz 05 Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-1-fsv-mainz-05-edition.png;;;;;Édition Monopoly 1. FSV Mainz 05 Edition éditée par Hasbro.;
mono-monopoly-11th-deluxe-edition;Non possédé;Monopoly 11th Deluxe Edition;Classique & Anniversaire;2010;Monde;Hasbro;;;;;;Édition Monopoly 11th Deluxe Edition éditée par Hasbro.;
mono-monopoly-1899-hoffenheim-edition;Non possédé;Monopoly 1899 Hoffenheim Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-1899-hoffenheim-edition.png;;;;;Édition Monopoly 1899 Hoffenheim Edition éditée par Hasbro.;
mono-monopoly-1935-commemorative-edition;Non possédé;Monopoly 1935 Commemorative Edition;Variantes & Règles Spéciales;1935;USA;Parker Brothers;images/box_mono-monopoly-1935-commemorative-edition.jpg;;;;;Édition Monopoly 1935 Commemorative Edition éditée par Parker Brothers.;
mono-monopoly-1935-deluxe-first-edition;Non possédé;Monopoly 1935 Deluxe First Edition;Classique & Anniversaire;1935;Monde;Hasbro;;;;;;Édition Monopoly 1935 Deluxe First Edition éditée par Hasbro.;
mono-monopoly-1935-deluxe-first-edition-2002-reproducti;Non possédé;Monopoly 1935 Deluxe First Edition (2002 Reproduction);Classique & Anniversaire;1935;Monde;Hasbro;;;;;;Édition Monopoly 1935 Deluxe First Edition (2002 Reproduction) éditée par Hasbro.;
mono-monopoly-1935-first-deluxe-edition;Non possédé;Monopoly 1935 First Deluxe Edition;Variantes & Règles Spéciales;1935;USA;Winning Moves;images/box_mono-monopoly-1935-first-deluxe-edition.jpg;;;;;Édition Monopoly 1935 First Deluxe Edition éditée par Winning Moves.;
mono-monopoly-1935-s-edition;Non possédé;Monopoly 1935's Edition;Classique & Anniversaire;1935;Monde;Hasbro;images/box_mono-monopoly-1935-s-edition.png;;;;;Édition Monopoly 1935's Edition éditée par Hasbro.;
mono-monopoly-1936-deluxe-wood-edition;Non possédé;Monopoly 1936 Deluxe Wood Edition;Variantes & Règles Spéciales;1936;Monde;Hasbro;images/box_mono-monopoly-1936-deluxe-wood-edition.jpg;;;;;Édition Monopoly 1936 Deluxe Wood Edition éditée par Hasbro.;
mono-monopoly-1964-standard-edition-us;Non possédé;Monopoly 1964 Standard Edition (US);Classique & Anniversaire;1964;Monde;Hasbro;images/box_mono-monopoly-1964-standard-edition-us.jpg;;;;;Édition Monopoly 1964 Standard Edition (US) éditée par Hasbro.;
mono-monopoly-1965-deluxe-edition-in-wooden-case;Non possédé;Monopoly 1965 Deluxe Edition in wooden case;Classique & Anniversaire;1965;Monde;Hasbro;images/box_mono-monopoly-1965-deluxe-edition-in-wooden-case.jpg;;;;;Édition Monopoly 1965 Deluxe Edition in wooden case éditée par Hasbro.;
mono-monopoly-1991-last-edition;Non possédé;Monopoly 1991 Last Edition;Classique & Anniversaire;1991;Monde;Hasbro;images/box_mono-monopoly-1991-last-edition.png;;;;;Édition Monopoly 1991 Last Edition éditée par Hasbro.;
mono-monopoly-1999-nfl-gridiron-limited-edition;Non possédé;Monopoly 1999 NFL Gridiron Limited Edition;Marques & Sports;1999;Monde;Hasbro;;;;;;Édition Monopoly 1999 NFL Gridiron Limited Edition éditée par Hasbro.;
mono-monopoly-2000-millennium-edition;Non possédé;Monopoly 2000 Millennium Edition;Éditions Spéciales & Thématiques;2000;Monde;Hasbro;images/box_mono-monopoly-2000-millennium-edition.png;;;;;Édition Monopoly 2000 Millennium Edition éditée par Hasbro.;
mono-monopoly-2006-fifa-world-cup-edition;Non possédé;Monopoly 2006 FIFA World Cup Edition;Marques & Sports;2006;Monde;Hasbro;;;;;;Édition Monopoly 2006 FIFA World Cup Edition éditée par Hasbro.;
mono-monopoly-2006-fifa-world-cup-germany-edition;Non possédé;Monopoly 2006 FIFA World Cup Germany Edition;Variantes & Règles Spéciales;2006;Allemagne;Winning Moves;images/box_mono-monopoly-2006-fifa-world-cup-germany-edition.jpg;;;;;Édition Monopoly 2006 FIFA World Cup Germany Edition éditée par Winning Moves.;
mono-monopoly-200x-future-las-vegas-edition;Non possédé;Monopoly 200X Future Las Vegas Edition;Villes & Pays (Monde);2010;Monde;Hasbro;;;;;;Édition Monopoly 200X Future Las Vegas Edition éditée par Hasbro.;
mono-monopoly-200x-future-las-vegas-version;Non possédé;Monopoly 200X Future Las Vegas Version;Villes & Pays (Monde);2010;Monde;Hasbro;images/box_mono-monopoly-200x-future-las-vegas-version.jpg;;;;;Édition Monopoly 200X Future Las Vegas Version éditée par Hasbro.;
mono-monopoly-2010-fifa-world-cup-south-africa-edition;Non possédé;Monopoly 2010 FIFA World Cup South Africa Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-2010-fifa-world-cup-south-africa-edition.jpg;;;;;Édition Monopoly 2010 FIFA World Cup South Africa Edition éditée par Hasbro.;
mono-monopoly-2012-olympic-games-edition;Non possédé;Monopoly 2012 Olympic Games Edition;Éditions Spéciales & Thématiques;2012;Monde;Hasbro;images/box_mono-monopoly-2012-olympic-games-edition.jpg;;;;;Édition Monopoly 2012 Olympic Games Edition éditée par Hasbro.;
